psgc,month_year,reported_active_flood_days
102805000,2022-01,2
102805000,2022-08,3
102805000,2022-10,5
102805000,2023-06,2
102805000,2023-07,5
102805000,2023-08,6
102805000,2024-02,2
102805000,2024-07,7
102805000,2024-09,5
102805000,2024-10,4
102805000,2024-11,2
102805000,2025-02,2
102805000,2025-07,3
102805000,2025-09,5
102805000,2025-11,2
102812000,2022-01,2
102812000,2022-08,3
102812000,2022-10,5
102812000,2023-06,2
102812000,2023-07,6
102812000,2023-08,6
102812000,2024-02,2
102812000,2024-07,8
102812000,2024-08,1
102812000,2024-09,5
102812000,2024-10,4
102812000,2024-11,2
102812000,2025-02,2
102812000,2025-07,3
102812000,2025-09,5
102812000,2025-10,1
102812000,2025-11,2
102906000,2022-01,2
102906000,2023-07,6
102906000,2023-08,5
102906000,2024-07,2
102906000,2024-10,6
102906000,2025-01,2
102906000,2025-07,3
102906000,2025-09,7
102934000,2022-01,2
102934000,2022-08,2
102934000,2023-07,6
102934000,2023-08,5
102934000,2024-07,4
102934000,2024-10,6
102934000,2025-07,6
102934000,2025-08,1
102934000,2025-09,6
103314000,2022-01,2
103314000,2023-01,1
103314000,2023-07,2
103314000,2023-08,1
103314000,2024-07,7
103314000,2024-09,7
103314000,2024-10,3
103314000,2025-07,8
103314000,2025-08,2
103314000,2025-09,7
103314000,2025-10,3
103314000,2025-11,4
105503000,2022-08,3
105503000,2023-07,3
105503000,2024-07,1
105503000,2024-10,3
105503000,2025-07,5
105518000,2022-07,4
105518000,2022-08,3
105518000,2022-09,4
105518000,2023-05,1
105518000,2023-06,1
105518000,2023-07,6
105518000,2023-08,8
105518000,2023-09,3
105518000,2024-01,1
105518000,2024-05,2
105518000,2024-07,9
105518000,2024-08,1
105518000,2024-09,14
105518000,2024-10,3
105518000,2024-11,6
105518000,2025-06,2
105518000,2025-07,12
105518000,2025-08,6
105518000,2025-09,3
105518000,2025-10,2
105518000,2025-11,5
105532000,2022-08,3
105532000,2023-07,2
105532000,2023-08,4
105532000,2023-09,2
105532000,2024-07,11
105532000,2024-09,11
105532000,2024-10,5
105532000,2024-11,3
105532000,2025-02,1
105532000,2025-07,10
105532000,2025-08,2
105532000,2025-09,6
105532000,2025-10,2
105532000,2025-11,6
105546000,2022-08,3
105546000,2022-11,1
105546000,2023-07,6
105546000,2023-08,5
105546000,2024-07,6
105546000,2024-09,1
105546000,2024-10,1
105546000,2024-11,1
105546000,2025-07,9
105546000,2025-08,2
105546000,2025-09,5
201529000,2022-08,3
201529000,2022-10,5
201529000,2022-11,2
201529000,2023-01,1
201529000,2023-07,1
201529000,2023-08,4
201529000,2023-11,2
201529000,2024-03,1
201529000,2024-07,6
201529000,2024-10,7
201529000,2024-11,12
201529000,2024-12,3
201529000,2025-07,3
201529000,2025-09,3
201529000,2025-10,5
201529000,2025-11,18
201529000,2025-12,1
203108000,2022-10,2
203108000,2022-11,2
203108000,2023-08,1
203108000,2024-07,1
203108000,2024-09,4
203108000,2024-10,2
203108000,2024-11,8
203108000,2025-04,1
203108000,2025-07,1
203108000,2025-09,1
203108000,2025-11,5
203108000,2025-12,1
203114000,2022-08,4
203114000,2022-10,4
203114000,2022-11,3
203114000,2023-01,2
203114000,2023-07,1
203114000,2023-08,1
203114000,2024-01,1
203114000,2024-03,3
203114000,2024-07,2
203114000,2024-08,1
203114000,2024-09,1
203114000,2024-10,6
203114000,2024-11,12
203114000,2025-08,2
203114000,2025-10,2
203114000,2025-11,10
203114000,2025-12,1
203135000,2022-07,1
203135000,2022-08,2
203135000,2022-10,7
203135000,2023-01,2
203135000,2023-07,1
203135000,2023-08,2
203135000,2024-09,5
203135000,2024-10,3
203135000,2024-11,4
203135000,2024-12,1
203135000,2025-07,1
203135000,2025-08,1
203135000,2025-09,3
203135000,2025-10,2
203135000,2025-11,5
300803000,2022-04,6
300803000,2022-07,4
300803000,2022-08,1
300803000,2022-09,4
300803000,2023-07,8
300803000,2023-08,2
300803000,2024-07,8
300803000,2024-09,8
300803000,2024-10,2
300803000,2024-11,1
300803000,2025-07,2
300803000,2025-08,1
300803000,2025-10,5
300803000,2025-11,3
301403000,2022-08,3
301403000,2022-09,7
301403000,2022-11,4
301403000,2022-12,4
301403000,2023-01,4
301403000,2023-07,9
301403000,2023-08,11
301403000,2023-09,3
301403000,2024-01,4
301403000,2024-02,3
301403000,2024-03,1
301403000,2024-05,1
301403000,2024-06,1
301403000,2024-07,10
301403000,2024-08,2
301403000,2024-09,10
301403000,2024-10,10
301403000,2024-11,5
301403000,2024-12,2
301403000,2025-06,4
301403000,2025-07,5
301403000,2025-08,4
301403000,2025-09,17
301403000,2025-10,6
301403000,2025-11,9
301403000,2025-12,1
301410000,2022-01,4
301410000,2022-05,2
301410000,2022-07,4
301410000,2022-09,7
301410000,2022-10,3
301410000,2022-11,5
301410000,2022-12,4
301410000,2023-01,5
301410000,2023-03,2
301410000,2023-05,2
301410000,2023-07,10
301410000,2023-08,12
301410000,2023-09,3
301410000,2024-03,1
301410000,2024-05,2
301410000,2024-07,13
301410000,2024-08,1
301410000,2024-09,6
301410000,2024-10,7
301410000,2024-11,4
301410000,2024-12,2
301410000,2025-05,2
301410000,2025-06,4
301410000,2025-07,4
301410000,2025-08,8
301410000,2025-09,13
301410000,2025-10,2
301410000,2025-11,7
301412000,2022-05,3
301412000,2022-06,5
301412000,2022-07,8
301412000,2022-08,3
301412000,2022-09,11
301412000,2022-10,5
301412000,2022-11,4
301412000,2022-12,2
301412000,2023-01,2
301412000,2023-03,1
301412000,2023-04,2
301412000,2023-05,1
301412000,2023-06,3
301412000,2023-07,15
301412000,2023-08,13
301412000,2023-09,8
301412000,2023-10,3
301412000,2023-11,2
301412000,2023-12,1
301412000,2024-02,2
301412000,2024-03,1
301412000,2024-05,4
301412000,2024-06,1
301412000,2024-07,14
301412000,2024-08,3
301412000,2024-09,9
301412000,2024-10,8
301412000,2024-11,5
301412000,2024-12,1
301412000,2025-05,2
301412000,2025-06,6
301412000,2025-07,20
301412000,2025-08,19
301412000,2025-09,21
301412000,2025-10,3
301412000,2025-11,8
301412000,2025-12,1
301420000,2022-05,1
301420000,2022-07,6
301420000,2022-08,2
301420000,2022-09,11
301420000,2022-10,5
301420000,2022-11,4
301420000,2022-12,4
301420000,2023-01,6
301420000,2023-04,2
301420000,2023-07,17
301420000,2023-08,11
301420000,2023-09,5
301420000,2023-10,1
301420000,2024-02,2
301420000,2024-03,1
301420000,2024-04,1
301420000,2024-05,5
301420000,2024-06,1
301420000,2024-07,13
301420000,2024-08,5
301420000,2024-09,12
301420000,2024-10,10
301420000,2024-11,5
