adm3_psgc,geo_level,start_date,end_date
604528000,City,2022-01-01,2022-01-02
604526000,City,2022-01-01,2022-01-02
604531000,City,2022-01-01,2022-01-02
604523000,City,2022-01-01,2022-01-02
604504000,City,2022-01-01,2022-01-02
1606724000,City,2022-01-01,2022-01-02
1600203000,City,2022-01-04,2022-01-04
1380500000,City,2022-01-09,2022-01-09
1381300000,City,2022-01-09,2022-01-09
1380100000,City,2022-01-09,2022-01-09
1381100000,City,2022-01-09,2022-01-09
1380600000,City,2022-01-09,2022-01-09
1380900000,City,2022-01-09,2022-01-09
1102319000,City,2022-01-16,2022-01-16
1102319000,City,2022-01-18,2022-01-23
1102319000,City,2022-01-18,2022-01-18
1102317000,City,2022-01-18,2022-01-18
1130700000,City,2022-01-18,2022-01-18
1102315000,City,2022-01-18,2022-01-18
301410000,City,2022-01-22,2022-01-25
1380800000,City,2022-01-25,2022-01-31
1381500000,City,2022-01-25,2022-01-31
702234000,City,2022-01-25,2022-01-26
1102319000,City,2022-01-26,2022-01-26
103314000,City,2022-01-29,2022-01-30
102906000,City,2022-01-29,2022-01-30
102934000,City,2022-01-29,2022-01-30
102805000,City,2022-01-29,2022-01-30
102812000,City,2022-01-29,2022-01-30
1380600000,City,2022-02-09,2022-02-09
1381400000,City,2022-02-11,2022-02-11
1380600000,City,2022-02-11,2022-02-11
1380500000,City,2022-02-12,2022-02-13
1381300000,City,2022-02-12,2022-02-13
1380100000,City,2022-02-12,2022-02-13
1381100000,City,2022-02-12,2022-02-13
1380600000,City,2022-02-12,2022-02-13
1380900000,City,2022-02-12,2022-02-13
1381200000,City,2022-02-23,2022-02-24
802604000,City,2022-02-23,2022-02-23
1001321000,City,2022-02-27,2022-02-27
1102319000,City,2022-03-01,2022-03-01
1030900000,City,2022-03-05,2022-03-07
1030500000,City,2022-03-05,2022-03-07
1903617000,City,2022-03-06,2022-03-07
1030900000,City,2022-03-06,2022-03-07
1030500000,City,2022-03-06,2022-03-07
604515000,City,2022-03-06,2022-03-07
1004307000,City,2022-03-06,2022-03-07
1380800000,City,2022-03-06,2022-03-07
1381500000,City,2022-03-06,2022-03-07
806003000,City,2022-03-06,2022-03-07
1130700000,City,2022-03-07,2022-03-08
1102315000,City,2022-03-07,2022-03-08
1908703000,City,2022-03-07,2022-03-08
1102319000,City,2022-03-07,2022-03-07
1204704000,City,2022-03-07,2022-03-07
1130700000,City,2022-03-07,2022-03-07
1102315000,City,2022-03-07,2022-03-07
1380500000,City,2022-03-08,2022-03-08
