city_name,psgc,year,poi_count,large_water_m,small_water_m,building_area_m2,gray_zones_area_m2,green_zones_area_m2,poi_per_km2,large_water_m_per_km2,small_water_m_per_km2,building_coverage_ratio,gray_zones_coverage_ratio,green_zones_coverage_ratio
Batangas City,401005000,2022,86.0,63093.63123595397,124197.99866382536,8293202.066500955,14963087.727704946,11009817.933476888,0.3133696048231316,229.90263124729404,452.5567181524044,0.030219040166253285,0.05452298707168313,0.04011793366265441
Batangas City,401005000,2023,85.0,63973.78955559563,124198.96331010578,8309308.035589179,15440177.661713945,11067885.082397131,0.3097257722089091,233.10978083808354,452.5602331619822,0.030277727621700612,0.056261422933142353,0.04032952063370491
Batangas City,401005000,2024,78.0,64606.50737259042,129561.67928477775,8351655.830487309,17286779.22433398,11065220.278777905,0.28421894390935193,235.41529865524882,472.1010725313037,0.030432035897890824,0.0629901299324914,0.04031981053536667
Batangas City,401005000,2025,79.0,68793.92740126613,130540.96235678186,25345037.10924342,18831194.801166818,25628992.1728489,0.2878627765235744,250.67355632518573,475.66941612762827,0.0923530728273397,0.06861772178126808,0.09338775754907896
City of Alaminos,105503000,2022,18.0,78755.53482245786,128941.93386476902,454022.6848166687,9022244.977848576,11657010.505848087,0.11106313693054097,485.935374890257,795.5942031617556,0.0028013990896314177,0.05566882385531567,0.07192578633398672
City of Alaminos,105503000,2023,20.0,78762.99035980982,129712.10014391322,465758.5343061252,9039996.061730923,11657098.745593056,0.12340348547837886,485.9813768550242,800.346263323971,0.002873811326233847,0.055778351136420705,0.07192633078859106
City of Alaminos,105503000,2024,17.0,78739.3474704976,132145.00318701047,484131.6010216082,9074677.827575969,11650022.619781114,0.10489296265662203,485.83549610762884,815.3576990914288,0.002987176349814717,0.055992343675811886,0.07188266985914721
City of Alaminos,105503000,2025,17.0,78732.26478126149,133358.40864599778,518029.9523280662,10803409.716317026,13461871.713027949,0.10489296265662203,485.7917946807141,822.8446222383051,0.003196335084974091,0.06665892070222526,0.08306209452252218
City of Angeles,330100000,2022,126.0,87635.62324957641,98094.8917831815,14778424.715871865,15563616.229375966,7523872.102835311,1.0401202437566106,723.4252842548565,809.765736133342,0.12199475172866163,0.12847644687486406,0.062108981631703385
City of Angeles,330100000,2023,131.0,95059.86616595688,92921.01262149838,14909561.978211088,16888293.056975044,8476829.262894714,1.0813948566040952,784.7118346667131,767.0557642697142,0.12307727967524772,0.13941155151630127,0.06997556920004143
