adm3_en,adm3_psgc,mean_twi,max_twi,std_twi
City of Batac,102805000,-3.754233680902728,20.971954345703125,4.242961674415028
City of Laoag,102812000,-2.450579243934233,20.181175231933594,4.329910485644211
City of Candon,102906000,-3.1416690886012884,20.913902282714844,3.924422569197032
City of Vigan,102934000,-2.407162168949985,30.71625518798828,3.6135632415791394
City of San Fernando,103314000,-4.519191276228,33.81822204589844,3.0777603292061024
City of Alaminos,105503000,-2.813815896397861,37.739566802978516,3.8663699823254514
City of Dagupan,105518000,-0.8425647904793772,35.69129180908203,5.85676012454986
City of San Carlos,105532000,1.4117310133530423,23.358854293823242,6.750035369367037
City of Urdaneta,105546000,-0.971334258240444,23.248592376708984,5.197740993439673
Tuguegarao City,201529000,-1.5037332583367422,22.796796798706055,5.156872364127688
City of Cauayan,203108000,-2.641254378283713,21.59807586669922,3.8039390628645977
City of Ilagan,203114000,-4.402590306357896,20.297168731689453,3.3065913313488515
City of Santiago,203135000,-2.1118179820877976,20.695005416870117,3.3803822540710913
City of Balanga,300803000,-3.819614020000618,17.676334381103516,3.170028983431877
City of Baliwag,301403000,-0.9903095721365307,23.03339195251465,5.215360035347251
City of Malolos,301410000,0.0635595367272878,42.556339263916016,6.637978992396878
City of Meycauayan,301412000,-2.7383940558225994,37.650428771972656,3.6410085894043887
City of San Jose Del Monte,301420000,-4.420140042156362,17.569358825683594,2.3670372965810325
City of Cabanatuan,304903000,-1.794454924302943,22.077409744262695,3.6679582625348255
City of Gapan,304908000,-2.528925293920322,29.08219337463379,3.237152973353277
Science City of Muñoz,304917000,-2.2064840496241773,21.695289611816406,2.8839975499099544
City of Palayan,304919000,-3.8721538558186284,22.02583122253418,2.9486520417562874
San Jose City,304926000,-2.9375563130169478,20.98674964904785,2.799653395926333
Mabalacat City,305409000,-3.427815349722666,17.143125534057617,2.718778683643923
City of San Fernando,305416000,-1.9929052540166423,20.905071258544922,3.8293201066228
City of Tarlac,306916000,-2.07911492418475,20.73836898803711,3.843621818987195
City of Angeles,330100000,-3.4490037550515966,16.50267791748047,2.627511787877675
City of Olongapo,331400000,-4.857455910827359,30.521589279174805,2.5070873075258486
Batangas City,401005000,-4.6173533078373215,21.96441078186035,2.3963968587102036
City of Calaca,401007000,-4.266147815313322,19.229745864868164,2.4282835552187483
City of Lipa,401014000,-3.7726338192476043,19.41387176513672,2.538145647474732
City of Sto. Tomas,401028000,-3.8752443125336535,18.649208068847656,2.5382522813509873
City of Tanauan,401031000,-3.4911278706066344,16.96307945251465,3.0850974274267946
City of Bacoor,402103000,-2.779460868687257,33.2052116394043,3.1104528115970256
City of Carmona,402104000,-3.670698555413258,18.98484230041504,2.67113448110408
City of Cavite,402105000,-3.816633786405825,15.95337200164795,2.7273758696942347
City of Dasmariñas,402106000,-3.596416953937745,19.29192352294922,2.175207177064162
City of General Trias,402108000,-3.09166609630511,18.254430770874023,2.3570606698182437
City of Imus,402109000,-2.636033861112126,18.997013092041016,2.9444015233455865
City of Tagaytay,402119000,-4.8165937210672505,15.529617309570312,1.9604848648273072
City of Trece Martires,402122000,-3.9248197342980724,17.928937911987305,1.9908594324916382
City of Biñan,403403000,-2.350534539473684,19.65287971496582,3.5233313440674454
City of Cabuyao,403404000,-1.5740137816523396,17.827558517456055,4.69232702610478
City of Calamba,403405000,-3.2108981829739895,18.921585083007812,3.2835418575995465
City of San Pablo,403424000,-3.586835412976578,18.76935577392578,3.108221580810215
City of San Pedro,403425000,-3.090617042713279,18.609188079833984,3.5494186093636797
City of Santa Rosa,403428000,-2.5365613570010987,20.295690536499023,3.326480109189847
City of Tayabas,405647000,-4.241250112822364,18.120649337768555,2.596589560823019
City of Antipolo,405802000,-5.056765600500082,18.64506721496582,2.283847903057124
City of Lucena,431200000,-2.6765857898819747,35.1441650390625,3.47380028961722
City of Legazpi,500506000,-4.0909185314808925,18.345359802246094,2.7918066326364994
City of Ligao,500508000,-4.463120995841295,18.398265838623047,2.699209267264222
City of Tabaco,500517000,-4.311713434034778,17.04903793334961,2.2949154635914963
City of Iriga,501716000,-4.022977220472336,18.863122940063477,3.0778638542372843
City of Naga,501724000,-3.183388795928529,17.49182891845703,2.9312728722238752
City of Masbate,504111000,-4.594280908277591,20.148298263549805,2.7526095735556217
City of Sorsogon,506216000,-4.435372232269498,35.851924896240234,2.6786156776369183
City of Roxas,601914000,-3.0639751034303027,43.25255584716797,4.411666119657972
City of Passi,603035000,-2.212670605504303,29.67292022705078,5.976240330298093
City of Bago,604502000,-3.1984672577676783,20.259841918945312,3.0590990857898475
City of Cadiz,604504000,-4.248826028721715,19.172502517700195,2.8619967064476444
City of Escalante,604509000,-3.2727373477072668,21.25176239013672,4.211814647046313
City of Himamaylan,604510000,-3.9642916985674916,20.765705108642578,3.1650256052341854
City of Kabankalan,604515000,-4.053591621325984,32.054969787597656,3.19522098866163
City of La Carlota,604516000,-3.641090238893053,17.864946365356445,2.622968258354044
City of Sagay,604523000,-3.4612058060590534,20.172338485717773,3.227999903913456
City of San Carlos,604524000,-4.9536299569776086,19.65934944152832,2.818689113985846
City of Silay,604526000,-3.5865360363376637,21.228897094726562,2.951893951651093
City of Sipalay,604527000,-4.4527496608278385,23.11008071899414,3.5714452014994844
City of Talisay,604528000,-4.044179380099455,17.898948669433594,2.625831987396437
City of Victorias,604531000,-3.4467509832950327,18.085437774658203,2.94433617909277
City of Bacolod,630200000,-3.1617724292933365,18.150880813598633,2.5380850378940907
City of Iloilo,631000000,-1.7795931965148288,22.66631317138672,4.275693946369135
City of Tagbilaran,701242000,-3.1785490498950804,19.14714241027832,3.5806091586832944
City of Bogo,702211000,-4.0492258859618175,32.707393646240234,2.9133345741623677
City of Carcar,702214000,-4.3794314072587515,20.49485969543457,3.238705697075618
Danao City,702223000,-5.160814801464064,33.36310958862305,2.5742017897148086
City of Naga,702234000,-4.929216947306532,20.089265823364258,2.9707138684147765
City of Talisay,702250000,-4.442330114648263,20.450218200683594,3.271703478041036
City of Toledo,702251000,-4.423123647660377,23.039735794067383,3.9398036288949623
City of Bais,704604000,-4.45139428276244,20.322744369506836,3.147160559914922
City of Bayawan,704606000,-4.340475791589881,22.401992797851562,3.0764913409788917
City of Canlaon,704608000,-4.691141999163742,17.847488403320312,2.311751836646455
City of Dumaguete,704610000,-3.2154287015062555,17.166770935058594,2.604839552985303
City of Guihulngan,704611000,-4.87003904154869,18.427692413330078,2.3490169529427876
City of Tanjay,704621000,-3.9673658266402505,32.414276123046875,3.421534876879084
City of Cebu,730600000,-4.961920165407688,22.772449493408203,2.871672911174736
City of Lapu-Lapu,731100000,-2.4461839324946473,19.279159545898438,3.3551486749047066
City of Mandaue,731300000,-3.1070001849279913,20.404909133911133,3.068549702122149
City of Borongan,802604000,-4.5007106723225565,26.167163848876953,3.7380471143975016
City of Baybay,803708000,-5.010193985771567,18.832881927490234,3.011531926157079
Ormoc City,803738000,-4.186961608869853,33.80628967285156,3.066408404759026
City of Calbayog,806003000,-4.8687171187473846,32.970703125,3.1979500345441396
City of Catbalogan,806005000,-4.647994911440827,20.522912979125977,3.9167262683307644
City of Maasin,806407000,-4.608267401078725,22.726837158203125,3.715846314158176
City of Tacloban,831600000,-4.074651243216009,19.669496536254883,3.6014577105655543
City of Dapitan,907201000,-4.170103495515551,32.030181884765625,3.8525112724784725
City of Dipolog,907202000,-2.998387282685597,23.243005752563477,5.133333779728097
City of Pagadian,907322000,-4.609387101527748,17.402019500732422,2.6958158717779432
City of Zamboanga,931700000,-4.539996668279134,36.24569320678711,3.228669591932174
City of Isabela,990101000,-4.3976000754216855,35.61693572998047,2.829368618260587
City of Malaybalay,1001312000,-4.792474123301578,19.561635971069336,2.510920247739584
City of Valencia,1001321000,-4.024293840251881,21.04241180419922,2.853489339916888
City of Oroquieta,1004209000,-4.580077729040344,17.619068145751953,2.8743898936559695
City of Ozamiz,1004210000,-4.058817593561978,33.81037139892578,2.7280814086886016
City of Tangub,1004215000,-4.643741580808453,18.08310317993164,2.4003178829351595
City of El Salvador,1004307000,-4.169740941307857,20.61220359802246,2.8369426270732263
City of Gingoog,1004308000,-5.029394845461341,19.155107498168945,2.3229413869233775
City of Cagayan De Oro,1030500000,-4.920120098098369,19.903919219970703,2.6618709105034433
City of Iligan,1030900000,-5.177895397230739,18.109113693237305,2.388409930836076
City of Panabo,1102315000,-3.274270279665388,21.553747177124023,3.5147164009149248
Island Garden City of Samal,1102317000,-3.8277304217890378,28.487794876098633,3.5967298901505713
City of Tagum,1102319000,-2.5048636551642636,32.29354476928711,3.829643498795806
City of Digos,1102403000,-4.512560575700085,18.919584274291992,2.79850938564126
City of Mati,1102509000,-5.0800285689851465,18.432697296142578,2.437066850431437
City of Davao,1130700000,-4.849094259447594,21.198034286499023,2.6259851438708544
City of Kidapawan,1204704000,-3.883832119871214,18.41311264038086,2.8057908620077634
City of Koronadal,1206306000,-3.9271263585786382,18.656517028808594,3.21632024382473
City of Tacurong,1206511000,-2.7462425877876355,19.871728897094727,3.563175948591651
City of General Santos,1230800000,-3.87238700040064,20.94822120666504,2.7863063315882544
City of Caloocan,1380100000,-3.690349744289713,20.236522674560547,2.278524164824859
City of Las Piñas,1380200000,-2.871416046403647,19.01578712463379,2.4675074110808506
City of Makati,1380300000,-3.306392605698699,20.422880172729492,2.7851013590797757
City of Malabon,1380400000,-2.9464995977833395,36.538265228271484,2.949540548395068
City of Mandaluyong,1380500000,-3.3312454973009173,19.333311080932617,2.984292389390718
City of Manila,1380600000,-2.9138537888672653,23.614137649536133,3.3715985838962133
City of Marikina,1380700000,-3.104007198033708,20.66252326965332,2.846667705064053
City of Muntinlupa,1380800000,-3.5354549637757864,17.776081085205078,2.4556189841951177
City of Navotas,1380900000,-3.1276206007281555,37.35584259033203,2.8137618188516327
City of Parañaque,1381000000,-2.831604691134394,21.47106170654297,2.910256153426022
Pasay City,1381100000,-2.8216301353995057,20.78257942199707,3.1913307366744315
City of Pasig,1381200000,-2.6781935758275033,21.07509422302246,3.5183734185653135
Quezon City,1381300000,-3.3432792912212723,30.428817749023438,3.2561012412947328
City of San Juan,1381400000,-3.546670974559454,19.918245315551758,2.5381767083472138
City of Taguig,1381500000,-1.619902182426659,19.209312438964844,4.9491537416298605
City of Valenzuela,1381600000,-3.0325721027447683,39.27820587158203,3.1079732466937524
City of Tabuk,1403213000,-4.379976247374519,18.69274139404297,2.6178328436290754
City of Baguio,1430300000,-5.216850690408118,16.50204849243164,2.4106551771223073
City of Cabadbaran,1600203000,-4.8320679484378415,19.366331100463867,2.87137840089225
City of Bayugan,1600301000,-4.461088182774972,20.576465606689453,3.0153046836761197
City of Surigao,1606724000,-4.435287540150342,16.621326446533203,2.800632796744896
City of Bislig,1606803000,-3.7009931482594203,21.344711303710938,4.301293869331274
City of Tandag,1606819000,-4.5039813307254954,21.471904754638672,3.7612817396003155
City of Butuan,1630400000,-3.5754472299731956,33.22948455810547,4.121855993565936
City of Calapan,1705205000,-1.3665429891260734,32.49354553222656,4.429604838840167
City of Puerto Princesa,1731500000,-4.831935652456815,34.30623245239258,2.769697822745228
City of Lamitan,1900702000,-4.203873234038313,34.06683349609375,3.0086644194931225
City of Marawi,1903617000,-4.372181696209389,17.165809631347656,2.615102845438533
City of Cotabato,1908703000,-1.4373545135187242,31.99262237548828,4.698647125292888
